source_cluster_id,target_cluster_id,relation_type,description,source_trigger,source_summary,target_trigger,target_summary,confidence_score,explanation,evidence_type,source_trigger_arguments,target_trigger_arguments,source_trigger_time,target_trigger_time,source_agent,target_agent,source_location,target_location,source_lat,source_lon,target_lat,target_lon
26203,24780,happens_before,,October 7 attack by Islamist Hamas militants,"Hamas militants carried out a deadly attack on Israel on October 7, prompting international discussions on aid and defence support.",air and ground assault,"Israel conducted a military offensive on Gaza, resulting in significant Palestinian casualties and displacement.",0.740000426769256,Event 'October 7 attack by Islamist Hamas militants' happens_before Event 'air and ground assault' via COMET: 'The Israelis are in a war with the Palestinians.',comet_happens_before,,"{'agent': 'Israel', 'object': 'Gaza', 'location': 'Gaza Strip', 'time': 'Over the past 10 weeks (up to 2023-12-12)', 'counterpart': 'Gazans', 'impact_summary': 'The offensive led to severe humanitarian and regional repercussions.', 'cause': 'Prevent a repeat of the Oct 7 attack by Palestinian militants.'}",,Over the past 10 weeks (up to 2023-12-12),,Israel,,Gaza Strip,,,-37.71374776639682,145.0748898345624
27014,1795,happens_before,,Wang Yi scheduled to be in Washington,"China's top diplomat Wang Yi is scheduled to visit Washington, hoping to improve diplomatic relations ahead of a potential meeting between Xi Jinping and Joe Biden in California.",urges Musk to deepen ties with Beijing,Chinese Vice President Han Zheng urged Elon Musk and other US firms to strengthen their economic ties with China during a meeting in Beijing.,0.716066181659698,Event 'Wang Yi scheduled to be in Washington' happens_before Event 'urges Musk to deepen ties with Beijing' via COMET: 'China wants to improve relations with the US',comet_happens_before,,,,,,,,,,,,
27014,13741,happens_before,,Wang Yi scheduled to be in Washington,"China's top diplomat Wang Yi is scheduled to visit Washington, hoping to improve diplomatic relations ahead of a potential meeting between Xi Jinping and Joe Biden in California.",agree to expand military talks,The US and China have agreed to expand military-to-military contacts as part of ongoing efforts to stabilize bilateral relations.,0.7451487779617311,Event 'Wang Yi scheduled to be in Washington' happens_before Event 'agree to expand military talks' via COMET: 'China wants to improve relations with the US',comet_happens_before,,"{'agent': ""US National Security Adviser Jake Sullivan and China's top diplomat Wang Yi"", 'object': 'military talks', 'location': 'Beijing', 'time': '2024-08-29', 'counterpart': 'President Xi Jinping', 'impact_summary': ""The agreement is expected to ease tensions and establish stronger communication channels between the two nations' military forces."", 'cause': 'Bilateral talks aimed at easing tensions'}",,2024-08-29,,US National Security Adviser Jake Sullivan and China's top diplomat Wang Yi,,Beijing,,,40.190632,116.412144
27014,22582,happens_before,,Wang Yi scheduled to be in Washington,"China's top diplomat Wang Yi is scheduled to visit Washington, hoping to improve diplomatic relations ahead of a potential meeting between Xi Jinping and Joe Biden in California.",tensions between the US and China are high,"Tensions have escalated between the US and China, impacting their commercial relationship.",0.716253042221069,Event 'Wang Yi scheduled to be in Washington' happens_before Event 'tensions between the US and China are high' via COMET: 'China wants to improve relations with the US',comet_happens_before,,,,,,,,,,,,
27083,24780,causes,,bombards Gaza,Israel intensifies its military action by bombarding Gaza as it prepares for a ground invasion amid escalating tensions with Hamas.,air and ground assault,"Israel conducted a military offensive on Gaza, resulting in significant Palestinian casualties and displacement.",0.7351994514465331,Event 'bombards Gaza' causes Event 'air and ground assault' via COMET: 'Israel is being attacked by Hamas',comet_causes,,"{'agent': 'Israel', 'object': 'Gaza', 'location': 'Gaza Strip', 'time': 'Over the past 10 weeks (up to 2023-12-12)', 'counterpart': 'Gazans', 'impact_summary': 'The offensive led to severe humanitarian and regional repercussions.', 'cause': 'Prevent a repeat of the Oct 7 attack by Palestinian militants.'}",,Over the past 10 weeks (up to 2023-12-12),,Israel,,Gaza Strip,,,-37.71374776639682,145.0748898345624
27083,26057,causes,,bombards Gaza,Israel intensifies its military action by bombarding Gaza as it prepares for a ground invasion amid escalating tensions with Hamas.,Hamas attack on Israel,"Hamas launched an attack on Israel, leading to significant casualties and triggering military responses.",0.8019838333129881,Event 'bombards Gaza' causes Event 'Hamas attack on Israel' via COMET: 'Israel is being attacked by Hamas',comet_causes,,,,,,,,,,,,
27234,8201,happens_before,,claims sovereignty over nearly all of the South China Sea,"China's sovereignty claims in the South China Sea are disputed by an international tribunal ruling, fueling regional tensions.",pressure on the Philippines,China is increasing pressure on the Philippines to cede its sovereign rights in the South China Sea.,0.73353624343872,Event 'claims sovereignty over nearly all of the South China Sea' happens_before Event 'pressure on the Philippines' via COMET: 'China's claim to the South China sea',comet_happens_before,,,,,,,,,,,,
27234,11575,happens_before,,claims sovereignty over nearly all of the South China Sea,"China's sovereignty claims in the South China Sea are disputed by an international tribunal ruling, fueling regional tensions.",rising tension in the South China Sea,"Geopolitical tensions are rising in the South China Sea due to overlapping maritime claims, affecting regional security dynamics.",0.7704888582229611,Event 'claims sovereignty over nearly all of the South China Sea' happens_before Event 'rising tension in the South China Sea' via COMET: 'China's claim to the South China sea',comet_happens_before,,,,,,,,,,,,
27234,16084,happens_before,,claims sovereignty over nearly all of the South China Sea,"China's sovereignty claims in the South China Sea are disputed by an international tribunal ruling, fueling regional tensions.",2016 ruling of an international arbitral tribunal,"The international tribunal ruled against China's territorial claims over the South China Sea, based on legal grounds, which China refuses to acknowledge.",0.8075878024101251,Event 'claims sovereignty over nearly all of the South China Sea' happens_before Event '2016 ruling of an international arbitral tribunal' via COMET: 'China's claim to the South China sea',comet_happens_before,,"{'agent': 'International arbitral tribunal', 'object': ""China's territorial claims"", 'location': 'South China Sea', 'time': '2016', 'counterpart': 'China', 'impact_summary': 'Continues to fuel disputes and conflicts over maritime boundaries in the region.', 'cause': 'Dispute over historic maps and territorial claims.'}",,2016,,International arbitral tribunal,,South China Sea,,,15.0000001,114.9999999
27234,16447,happens_before,,claims sovereignty over nearly all of the South China Sea,"China's sovereignty claims in the South China Sea are disputed by an international tribunal ruling, fueling regional tensions.",submission to the UN,"The Philippines submitted a claim to the UN for an extended continental shelf in the South China Sea, asserting its maritime rights against China's expansive claims.",0.766936540603637,Event 'claims sovereignty over nearly all of the South China Sea' happens_before Event 'submission to the UN' via COMET: 'China's claim to the South China sea',comet_happens_before,,,,,,,,,,,,
27234,17244,happens_before,,claims sovereignty over nearly all of the South China Sea,"China's sovereignty claims in the South China Sea are disputed by an international tribunal ruling, fueling regional tensions.",China tensions grow,There is an increase in tensions between China and its neighboring countries over territorial claims in the South China Sea.,0.7972669005393981,Event 'claims sovereignty over nearly all of the South China Sea' happens_before Event 'China tensions grow' via COMET: 'China's claim to the South China sea',comet_happens_before,,,,,,,,,,,,
27234,20644,happens_before,,claims sovereignty over nearly all of the South China Sea,"China's sovereignty claims in the South China Sea are disputed by an international tribunal ruling, fueling regional tensions.",maritime claims,"China's extensive territorial claims in the South China Sea, including contested areas like the Second Thomas Shoal, have led to international tensions.",0.8273577690124511,Event 'claims sovereignty over nearly all of the South China Sea' happens_before Event 'maritime claims' via COMET: 'China's claim to the South China sea',comet_happens_before,,"{'agent': 'China', 'object': 'South China Sea', 'location': 'South China Sea', 'time': 'Ongoing', 'counterpart': 'Philippines', 'impact_summary': 'Heightened tensions with the Philippines and regional instability due to competing maritime claims.', 'cause': ""China's aggressive territorial expansion strategies""}",,Ongoing,,China,,South China Sea,,,15.0000001,114.9999999
27234,20661,happens_before,,claims sovereignty over nearly all of the South China Sea,"China's sovereignty claims in the South China Sea are disputed by an international tribunal ruling, fueling regional tensions.",Beijing's increasing assertiveness,"China's assertive actions in the South China Sea are contributing to heightened geopolitical tensions in the region, influencing US-Philippines relations.",0.7358240485191341,Event 'claims sovereignty over nearly all of the South China Sea' happens_before Event 'Beijing's increasing assertiveness' via COMET: 'China's claim to the South China sea',comet_happens_before,,,,,,,,,,,,
27234,21563,happens_before,,claims sovereignty over nearly all of the South China Sea,"China's sovereignty claims in the South China Sea are disputed by an international tribunal ruling, fueling regional tensions.",maritime run-ins,Recent run-ins between China and the Philippines have made the South China Sea a flashpoint for potential conflict between the US and China.,0.7284829616546631,Event 'claims sovereignty over nearly all of the South China Sea' happens_before Event 'maritime run-ins' via COMET: 'China's claim to the South China sea',comet_happens_before,,"{'agent': 'Philippines and China', 'object': 'maritime territory', 'location': 'Second Thomas Shoal, South China Sea', 'time': '2024-03-15', 'counterpart': None, 'impact_summary': 'Escalation of disputes and increased military presence in the South China Sea.', 'cause': 'Territorial claims and sovereignty disputes.'}",,2024-03-15,,Philippines and China,,"Second Thomas Shoal, South China Sea",,,,
27234,23168,happens_before,,claims sovereignty over nearly all of the South China Sea,"China's sovereignty claims in the South China Sea are disputed by an international tribunal ruling, fueling regional tensions.",territorial disputes in the South China Sea,"The Philippines is facing territorial disputes with China in the South China Sea, which continue to affect international relations.",0.7269462943077081,Event 'claims sovereignty over nearly all of the South China Sea' happens_before Event 'territorial disputes in the South China Sea' via COMET: 'China's claim to the South China sea',comet_happens_before,,,,,,,,,,,,
27234,25239,happens_before,,claims sovereignty over nearly all of the South China Sea,"China's sovereignty claims in the South China Sea are disputed by an international tribunal ruling, fueling regional tensions.",2016 ruling by the Permanent Court of Arbitration,A 2016 ruling by the Permanent Court of Arbitration found that China's claims over the South China Sea lacked legal basis.,0.797248601913452,Event 'claims sovereignty over nearly all of the South China Sea' happens_before Event '2016 ruling by the Permanent Court of Arbitration' via COMET: 'China's claim to the South China sea',comet_happens_before,,,,,,,,,,,,
27234,32266,happens_before,,claims sovereignty over nearly all of the South China Sea,"China's sovereignty claims in the South China Sea are disputed by an international tribunal ruling, fueling regional tensions.",China's maritime claims,"China has been increasingly assertive about its claims in the South China Sea, causing regional tensions with Southeast Asian countries that have overlapping claims.",0.84322452545166,Event 'claims sovereignty over nearly all of the South China Sea' happens_before Event 'China's maritime claims' via COMET: 'China's claim to the South China sea',comet_happens_before,,,,,,,,,,,,
27234,33542,happens_before,,claims sovereignty over nearly all of the South China Sea,"China's sovereignty claims in the South China Sea are disputed by an international tribunal ruling, fueling regional tensions.",tensions with Beijing in the South China Sea,"Tensions persist in the South China Sea as China continues to assert its expansive territorial claims, affecting regional stability.",0.7312217354774471,Event 'claims sovereignty over nearly all of the South China Sea' happens_before Event 'tensions with Beijing in the South China Sea' via COMET: 'China's claim to the South China sea',comet_happens_before,,,,,,,,,,,,
28245,28268,happens_before,,unable to issue new debt,"China Evergrande Group announced it could not issue new debt due to an ongoing investigation into its subsidiary, Hengda Real Estate Group.",investigation into Hengda Real Estate Group,"Hengda Real Estate Group, a unit of China Evergrande, is under investigation by the Chinese securities regulator for suspected violation of information disclosure.",0.864053964614868,"Event 'unable to issue new debt' happens_before Event 'investigation into Hengda Real Estate Group' via COMET: 'China's state-owned company, Hengda Real Estate Group, is being investigated'",comet_happens_before,"{'agent': 'China Evergrande', 'object': 'new debt issuance', 'location': 'Hong Kong, China', 'time': '2023-09-25', 'counterpart': 'Hengda Real Estate Group Co Ltd', 'impact_summary': ""This inability further complicates Evergrande's already challenging restructuring plans."", 'cause': 'Investigation into a subsidiary by Chinese securities regulators'}",,2023-09-25,,China Evergrande,,"Hong Kong, China",,22.350627,114.1849161,,
28619,32372,happens_before,,Biden also called Xi a 'dictator',US President Joe Biden also referred to Xi Jinping as a 'dictator' after a visit by US Secretary of State Antony Blinken to China.,visit China from July 16-19,"US Climate Envoy John Kerry is scheduled to visit China from July 16-19 to discuss climate issues, underscoring the significance of US-China cooperation in combating climate change despite ongoing political tensions.",0.808323383331298,Event 'Biden also called Xi a 'dictator'' happens_before Event 'visit China from July 16-19' via COMET: 'US president John Kerry visits China',comet_happens_before,,,,,,,,,,,,
28864,25674,happens_before,,risked retaliation by China,There was a risk of China retaliating with counter-tariffs if the EU imposes tariffs on China-made EVs.,prospect of a trade war,The potential return of Trump raises the specter of a full-fledged trade war with China.,0.728323519229888,Event 'risked retaliation by China' happens_before Event 'prospect of a trade war' via COMET: 'there is a risk of a trade war',comet_happens_before,,"{'agent': 'Trump Administration', 'object': 'US-China Trade Relations', 'location': 'United States/China', 'time': None, 'counterpart': 'China', 'impact_summary': 'A trade war could strain bilateral relationships and impact global markets.', 'cause': ""Trump's unpredictable foreign policy stance""}",,,,Trump Administration,,United States/China,,,30.047992,-94.3357433
29081,23108,causes,,ousted Mr Qin Gang,Xi Jinping removed Mr Qin Gang from the role of foreign minister after his unexplained absence from public view for a month.,sacked its foreign minister,China might name a new foreign minister after six months of the unexplained dismissal of the previous one.,0.719035148620605,Event 'ousted Mr Qin Gang' causes Event 'sacked its foreign minister' via COMET: 'China is now without a foreign minister',comet_causes,,"{'agent': 'China', 'object': 'foreign minister', 'location': 'China', 'time': '2023-07-19', 'counterpart': None, 'impact_summary': 'The unexplained dismissal led to speculation and the need for a replacement six months later.', 'cause': 'Mysterious and unexplained circumstances'}",,2023-07-19,,China,,China,,,35.0000663,104.999955
29286,25670,happens_before,,oppose new Cold War,"China's premier, Li Qiang, urged ASEAN leaders to oppose a new Cold War and encouraged peaceful cooperation.",US President Joe Biden and Chinese President Xi Jinping are expected to meet,US and Chinese leaders are set to meet to address tensions impacting their economies and trade.,0.7638063430786131,Event 'oppose new Cold War' happens_before Event 'US President Joe Biden and Chinese President Xi Jinping are expected to meet' via COMET: 'China's president to meet with the leaders',comet_happens_before,,,,,,,,,,,,
29636,29735,happens_before,,release of treated water,"Japan faces backlash, including a ban on seafood imports from China, following the release of treated water from Fukushima, prompting potential WTO involvement.",China banned all seafood imports,China imposed a ban on seafood imports from Japan in response to the release of treated water from Fukushima's nuclear plant.,0.7652516961097711,Event 'release of treated water' happens_before Event 'China banned all seafood imports' via COMET: 'Japan is not allowed to buy any seafood from China',comet_happens_before,"{'agent': 'Japan', 'object': 'treated water', 'location': 'Pacific Ocean', 'time': '2023-08-22', 'counterpart': 'South Korea', 'impact_summary': 'The decision risks regional diplomatic relations and public safety concerns.', 'cause': 'Running out of storage capacity for contaminated water'}",,2023-08-22,,Japan,,Pacific Ocean,,-0.703107,-120.9375,,
29835,30885,happens_before,,barred some investment,"US President Joe Biden has imposed new restrictions on investments in sectors like semiconductors, affecting US-China trade relations.",US ban on new US investment in China,"US President Joe Biden signed an executive order prohibiting or restricting US investments in Chinese entities in sensitive technologies, citing national security concerns.",0.745866060256958,Event 'barred some investment' happens_before Event 'US ban on new US investment in China' via COMET: 'US President Joe Biden imposes new restrictions on the Chinese',comet_happens_before,"{'agent': 'Joe Biden', 'object': 'investment in semiconductors', 'location': 'United States and China', 'time': '2023-08-01', 'counterpart': 'Beijing', 'impact_summary': ""The policy aims to limit Beijing's technological advances but has also tightened domestic financial constraints in China."", 'cause': 'US intent to curb trade and funding advantages for Beijing'}",,2023-08-01,,Joe Biden,,United States and China,,22.27804275,114.15875553291917,,
29835,33832,happens_before,,barred some investment,"US President Joe Biden has imposed new restrictions on investments in sectors like semiconductors, affecting US-China trade relations.",imposing a sweeping ban on semiconductor exports,"Biden took strong measures against China, including a ban on semiconductor exports as part of overarching strategies addressing US-China competition.",0.714396953582763,Event 'barred some investment' happens_before Event 'imposing a sweeping ban on semiconductor exports' via COMET: 'US President Joe Biden imposes new restrictions on the Chinese',comet_happens_before,"{'agent': 'Joe Biden', 'object': 'investment in semiconductors', 'location': 'United States and China', 'time': '2023-08-01', 'counterpart': 'Beijing', 'impact_summary': ""The policy aims to limit Beijing's technological advances but has also tightened domestic financial constraints in China."", 'cause': 'US intent to curb trade and funding advantages for Beijing'}","{'agent': 'Joe Biden', 'object': 'Semiconductor exports', 'location': 'United States, China', 'time': 'Ongoing', 'counterpart': 'China', 'impact_summary': 'Exemplifies significant US economic stances in technology competition and national security.', 'cause': 'Long-term strategic competition with China'}",2023-08-01,Ongoing,Joe Biden,Joe Biden,United States and China,"United States, China",22.27804275,114.15875553291917,30.047992,-94.3357433
30423,6293,happens_before,,files for Chapter 15 protection,China Evergrande has filed for Chapter 15 protection from creditors under US bankruptcy law to manage its debts.,ordered into liquidation,China Evergrande was ordered into liquidation by a Hong Kong court following offshore debt default in late 2021.,0.848069012165069,Event 'files for Chapter 15 protection' happens_before Event 'ordered into liquidation' via COMET: 'China Evergrande has filed for bankruptcy',comet_happens_before,,"{'agent': 'Hong Kong Court', 'object': 'China Evergrande', 'location': 'Hong Kong', 'time': '2024-01', 'counterpart': None, 'impact_summary': ""The liquidation order marked a critical stage in Evergrande's ongoing financial crisis, impacting creditors and stakeholders worldwide."", 'cause': ""Evergrande's inability to service its colossal debt.""}",,2024-01,,Hong Kong Court,,Hong Kong,,,22.350627,114.1849161
30423,22743,happens_before,,files for Chapter 15 protection,China Evergrande has filed for Chapter 15 protection from creditors under US bankruptcy law to manage its debts.,ordered to liquidate,"A Hong Kong court has ordered China Evergrande to liquidate, affecting its restructuring efforts and creditor engagements.",0.715209245681762,Event 'files for Chapter 15 protection' happens_before Event 'ordered to liquidate' via COMET: 'China Evergrande has filed for bankruptcy',comet_happens_before,,"{'agent': 'Hong Kong court', 'object': 'China Evergrande', 'location': 'Hong Kong', 'time': '2024-01-29', 'counterpart': 'Creditor group', 'impact_summary': ""Liquidation hinders Evergrande's financial recovery plan and poses challenges for creditors retrieving their investments."", 'cause': 'Failure to engage meaningfully with creditors.'}",,2024-01-29,,Hong Kong court,,Hong Kong,,,22.350627,114.1849161
30722,30721,happens_before,,introduced an anti-espionage law,"China introduced a new anti-espionage law to ban the transfer of information related to national security, creating concerns among international stakeholders.",stepping up its oversight,"China is increasing its oversight on espionage activities, urging citizens to participate actively in counter-espionage efforts.",0.701041460037231,Event 'introduced an anti-espionage law' happens_before Event 'stepping up its oversight' via COMET: 'China's new anti-espionage law',comet_happens_before,"{'agent': 'Chinese government', 'object': 'anti-espionage law', 'location': 'China', 'time': '2023-07-01', 'counterpart': 'United States, European Union', 'impact_summary': 'The law affects both domestic and international relations concerning information safety and trade.', 'cause': 'The need to protect national security and interests.'}","{'agent': 'Chinese government', 'object': 'espionage activities', 'location': 'China', 'time': '2023-08-01', 'counterpart': None, 'impact_summary': 'This policy reinforces national security and involves the public in countering threats.', 'cause': 'Growing concerns over espionage activities.'}",2023-07-01,2023-08-01,Chinese government,Chinese government,China,China,35.0000663,104.999955,35.0000663,104.999955
31335,3954,happens_before,,pledged to bring its emissions to a peak,China committed to peaking its emissions before the decade's end and achieving carbon neutrality by 2060 while continuing to expand clean energy.,aims to ensure CO2 emissions peak by 2030,"China plans to peak its carbon dioxide emissions by 2030, aiming for net-zero by 2060 to combat climate change.",0.7615424394607541,Event 'pledged to bring its emissions to a peak' happens_before Event 'aims to ensure CO2 emissions peak by 2030' via COMET: 'China to become a carbon neutral nation',comet_happens_before,"{'agent': 'China', 'object': 'its carbon emissions', 'location': 'China', 'time': 'Before 2030', 'counterpart': None, 'impact_summary': ""China's commitment is crucial to global climate goals due to its significant CO2 production."", 'cause': 'International pressure and global climate agreements'}",,Before 2030,,China,,China,,35.0000663,104.999955,,
31918,32467,causes,,export restrictions on gallium and germanium,"China imposed export restrictions on gallium and germanium, crucial for semiconductor production, impacting global supply chains.",control exports of gallium and germanium,"China announced the control over gallium and germanium exports, aiming to escalate its tech rivalry with the United States.",0.7371163368225091,Event 'export restrictions on gallium and germanium' causes Event 'control exports of gallium and germanium' via COMET: 'China has banned imports of germanium',comet_causes,"{'agent': 'China', 'object': 'gallium and germanium', 'location': 'China', 'time': '_ongoing_', 'counterpart': None, 'impact_summary': 'Global semiconductor supply chains are highly affected.', 'cause': 'Strategic trade measure by China amidst geopolitical tensions.'}","{'agent': 'China', 'object': 'gallium and germanium exports', 'location': 'China', 'time': '2023-07-05', 'counterpart': 'United States', 'impact_summary': 'The decision increased global concern and commodity prices, impacting global tech production.', 'cause': 'US restrictions on chip purchases from Micron'}",_ongoing_,2023-07-05,China,China,China,China,35.0000663,104.999955,35.0000663,104.999955
31941,1812,happens_before,,met,China's President Xi Jinping met with veteran US diplomat Henry Kissinger in Beijing to discuss improving relations between China and the United States.,meetings with Tesla CEO Elon Musk and other US business leaders,Chinese Vice President Han Zheng met with Elon Musk and other U.S. business leaders in Washington to discuss strengthening economic ties before Trump's inauguration.,0.7164897918701171,Event 'met' happens_before Event 'meetings with Tesla CEO Elon Musk and other US business leaders' via COMET: 'China's president meets with the US president',comet_happens_before,"{'agent': ""China's Defence Minister"", 'object': 'head of the Russian navy', 'location': 'Beijing, China', 'time': '2023-07-03', 'counterpart': 'Russia', 'impact_summary': 'The high-level meeting signifies ongoing and future collaborative military efforts.', 'cause': 'Strengthening of China-Russia military relations'}",,2023-07-03,,China's Defence Minister,,"Beijing, China",,40.190632,116.412144,,
31941,25635,happens_before,,met,China's President Xi Jinping met with veteran US diplomat Henry Kissinger in Beijing to discuss improving relations between China and the United States.,meeting between Xi and Biden,"Chinese President Xi Jinping met with United States President Joe Biden at the Filoli estate outside San Francisco, showcasing personal diplomacy amidst efforts to ease bilateral tensions.",0.7435330748558041,Event 'met' happens_before Event 'meeting between Xi and Biden' via COMET: 'China's president meets with the US president',comet_happens_before,"{'agent': ""China's Defence Minister"", 'object': 'head of the Russian navy', 'location': 'Beijing, China', 'time': '2023-07-03', 'counterpart': 'Russia', 'impact_summary': 'The high-level meeting signifies ongoing and future collaborative military efforts.', 'cause': 'Strengthening of China-Russia military relations'}",,2023-07-03,,China's Defence Minister,,"Beijing, China",,40.190632,116.412144,,
31941,25670,happens_before,,met,China's President Xi Jinping met with veteran US diplomat Henry Kissinger in Beijing to discuss improving relations between China and the United States.,US President Joe Biden and Chinese President Xi Jinping are expected to meet,US and Chinese leaders are set to meet to address tensions impacting their economies and trade.,0.764908969402313,Event 'met' happens_before Event 'US President Joe Biden and Chinese President Xi Jinping are expected to meet' via COMET: 'China's president meets with the US president',comet_happens_before,"{'agent': ""China's Defence Minister"", 'object': 'head of the Russian navy', 'location': 'Beijing, China', 'time': '2023-07-03', 'counterpart': 'Russia', 'impact_summary': 'The high-level meeting signifies ongoing and future collaborative military efforts.', 'cause': 'Strengthening of China-Russia military relations'}",,2023-07-03,,China's Defence Minister,,"Beijing, China",,40.190632,116.412144,,
31941,26678,happens_before,,met,China's President Xi Jinping met with veteran US diplomat Henry Kissinger in Beijing to discuss improving relations between China and the United States.,meeting could take place,There is consideration for a meeting between Chinese President Xi Jinping and US President Joe Biden at the upcoming APEC Summit in San Francisco.,0.7031205892562861,Event 'met' happens_before Event 'meeting could take place' via COMET: 'China's president meets with the US president',comet_happens_before,"{'agent': ""China's Defence Minister"", 'object': 'head of the Russian navy', 'location': 'Beijing, China', 'time': '2023-07-03', 'counterpart': 'Russia', 'impact_summary': 'The high-level meeting signifies ongoing and future collaborative military efforts.', 'cause': 'Strengthening of China-Russia military relations'}","{'agent': None, 'object': 'meeting', 'location': 'APEC Summit, San Francisco', 'time': '2023-11', 'counterpart': 'Chinese President Xi Jinping, US President Joe Biden', 'impact_summary': 'A successful meeting could ease tensions and improve bilateral relations.', 'cause': 'Ongoing diplomatic engagement and discussions among leaders.'}",2023-07-03,2023-11,China's Defence Minister,,"Beijing, China","APEC Summit, San Francisco",40.190632,116.412144,,
31941,32305,happens_before,,met,China's President Xi Jinping met with veteran US diplomat Henry Kissinger in Beijing to discuss improving relations between China and the United States.,rare meeting at the Pentagon,China's ambassador to the United States held a rare meeting at the Pentagon for security-related talks amid rising US-China tensions.,0.703069269657135,Event 'met' happens_before Event 'rare meeting at the Pentagon' via COMET: 'China's president meets with the US president',comet_happens_before,"{'agent': ""China's Defence Minister"", 'object': 'head of the Russian navy', 'location': 'Beijing, China', 'time': '2023-07-03', 'counterpart': 'Russia', 'impact_summary': 'The high-level meeting signifies ongoing and future collaborative military efforts.', 'cause': 'Strengthening of China-Russia military relations'}",,2023-07-03,,China's Defence Minister,,"Beijing, China",,40.190632,116.412144,,
31957,3210,happens_before,,large-scale war games around Taiwan,China staged large-scale military exercises around Taiwan following political visits between Taiwanese leaders and US officials causing anger in Beijing.,staged two rounds of major exercises,"China conducted extensive military exercises around Taiwan in 2024, labeled Joint Sword - 2024A and 2024B, as part of escalation strategies.",0.7595668435096741,Event 'large-scale war games around Taiwan' happens_before Event 'staged two rounds of major exercises' via COMET: 'China's military exercises',comet_happens_before,,"{'agent': 'Chinese military', 'object': 'Taiwanese borders', 'location': 'Around Taiwan', 'time': 'May and October 2024', 'counterpart': None, 'impact_summary': 'Heightened military alertness and potential risk of armed conflict in the region.', 'cause': 'Part of a strategy to exert military pressure and intimidation on Taiwan'}",,May and October 2024,,Chinese military,,Around Taiwan,,,24.8564725,121.8228012
31957,6050,happens_before,,large-scale war games around Taiwan,China staged large-scale military exercises around Taiwan following political visits between Taiwanese leaders and US officials causing anger in Beijing.,held two days of war games around the island,China conducted military exercises around Taiwan as a response to Taiwanese President Lai Ching-te's inauguration speech.,0.7441108226776121,Event 'large-scale war games around Taiwan' happens_before Event 'held two days of war games around the island' via COMET: 'China's military exercises',comet_happens_before,,"{'agent': 'Chinese military', 'object': 'Taiwan', 'location': 'Around Taiwan', 'time': 'May 2024', 'counterpart': None, 'impact_summary': ""The exercises heightened tensions in the region, sparking international concern over China's intentions."", 'cause': ""Taiwanese President's inauguration speech perceived as separatist by China""}",,May 2024,,Chinese military,,Around Taiwan,,,24.8564725,121.8228012
31957,18834,happens_before,,large-scale war games around Taiwan,China staged large-scale military exercises around Taiwan following political visits between Taiwanese leaders and US officials causing anger in Beijing.,wrapped up their largest annual military exercises,Cambodia and China concluded their biggest annual military exercises involving several Chinese warships and hundreds of military personnel.,0.7020332217216491,Event 'large-scale war games around Taiwan' happens_before Event 'wrapped up their largest annual military exercises' via COMET: 'China's military exercises',comet_happens_before,,"{'agent': 'Cambodia and China', 'object': 'military personnel and warships', 'location': 'Cambodia', 'time': '2024-05-29', 'counterpart': None, 'impact_summary': 'Enhanced military collaboration which may elevate regional security concerns.', 'cause': 'Strengthening Cambodia-China military ties'}",,2024-05-29,,Cambodia and China,,Cambodia,,,12.5433216,104.8144914
32266,8201,happens_before,,China's maritime claims,"China has been increasingly assertive about its claims in the South China Sea, causing regional tensions with Southeast Asian countries that have overlapping claims.",pressure on the Philippines,China is increasing pressure on the Philippines to cede its sovereign rights in the South China Sea.,0.7052036523818971,Event 'China's maritime claims' happens_before Event 'pressure on the Philippines' via COMET: 'China's claim to the sea',comet_happens_before,,,,,,,,,,,,
32266,16084,happens_before,,China's maritime claims,"China has been increasingly assertive about its claims in the South China Sea, causing regional tensions with Southeast Asian countries that have overlapping claims.",2016 ruling of an international arbitral tribunal,"The international tribunal ruled against China's territorial claims over the South China Sea, based on legal grounds, which China refuses to acknowledge.",0.7461910843849181,Event 'China's maritime claims' happens_before Event '2016 ruling of an international arbitral tribunal' via COMET: 'China's claim to the sea',comet_happens_before,,"{'agent': 'International arbitral tribunal', 'object': ""China's territorial claims"", 'location': 'South China Sea', 'time': '2016', 'counterpart': 'China', 'impact_summary': 'Continues to fuel disputes and conflicts over maritime boundaries in the region.', 'cause': 'Dispute over historic maps and territorial claims.'}",,2016,,International arbitral tribunal,,South China Sea,,,15.0000001,114.9999999
32266,16447,happens_before,,China's maritime claims,"China has been increasingly assertive about its claims in the South China Sea, causing regional tensions with Southeast Asian countries that have overlapping claims.",submission to the UN,"The Philippines submitted a claim to the UN for an extended continental shelf in the South China Sea, asserting its maritime rights against China's expansive claims.",0.7239435911178581,Event 'China's maritime claims' happens_before Event 'submission to the UN' via COMET: 'China's claim to the sea',comet_happens_before,,,,,,,,,,,,
32266,17244,happens_before,,China's maritime claims,"China has been increasingly assertive about its claims in the South China Sea, causing regional tensions with Southeast Asian countries that have overlapping claims.",China tensions grow,There is an increase in tensions between China and its neighboring countries over territorial claims in the South China Sea.,0.7504476308822631,Event 'China's maritime claims' happens_before Event 'China tensions grow' via COMET: 'China's claim to the sea',comet_happens_before,,,,,,,,,,,,
